imdb_id,title,poster_url,overview,release_year,rating,votes,country,genre,language,runtime
tt28259207,Kill,https://m.media-amazon.com/images/M/MV5BZjI1ZjM3NjUtYTc1Ni00ODJmLWI5YjQtMWZiZTAyNTFiZGY1XkEyXkFqcGc@._V1_SX300.jpg,"During a train trip to New Delhi, a pair of commandos face an army of invading bandits.",2023,7.4,45906,India,"Action, Crime, Drama",Hindi,105.0
tt27440937,Weapon,https://m.media-amazon.com/images/M/MV5BMzIxMDkzNjMtYWRjYy00MTFkLTk0M2EtY2Q3ZTEwZTI5MTFhXkEyXkFqcGc@._V1_SX300.jpg,"Agni a YouTuber who is a dedicated environmentalist is searching for a superhuman (Mithran), to shoot and add as content for his channel. The journey is full of twists and turns as he is not the only one searching for him.",2024,5.8,5462,India,"Action, Sci-Fi, Thriller",Tamil,120.0
tt23864864,Joram,https://m.media-amazon.com/images/M/MV5BMmViYjkxZTItMDVlYy00ZDQxLThjOTUtNDhmY2MxMDE2YWZmXkEyXkFqcGc@._V1_SX300.jpg,A father is on the run with his little baby girl to escape the ghosts of his past and the forces that want him dead.,2023,6.6,2623,India,"Action, Adventure, Crime","Hindi, English",119.0
tt11651796,AK vs AK,https://m.media-amazon.com/images/M/MV5BNGM2ZWM0NTgtZTAwMi00NzNmLTgwZmEtMzEyZTgxNTYwZDFlXkEyXkFqcGc@._V1_SX300.jpg,"A filmmaker kidnaps the daughter of a movie star, and while the star searches for his daughter the director films the desperate search in real time for his next blockbuster movie.",2020,6.9,15741,India,"Comedy, Crime, Drama",Hindi,108.0
tt14479746,Thar,https://m.media-amazon.com/images/M/MV5BYmQxYWMxYTEtYWY4NC00MzM1LWE4YTYtMzFhZDczNmU2ZTUzXkEyXkFqcGc@._V1_SX300.jpg,A mysterious stranger arrives in a village situated in the Thar desert and crosses paths with a veteran cop investigating a case of brutal killings.,2022,6.1,8103,India,"Action, Crime, Drama","Hindi, Rajasthani",108.0
tt32368060,Dirty Fellow,https://m.media-amazon.com/images/M/MV5BMGI0MTQ5ODQtNmZiMy00MjY3LWE4ODktYzUwZTFkYmJlNDZjXkEyXkFqcGdeQXVyMTA4MzQ4NzMw._V1_SX300.jpg,The son of a prominent don attempts to assassinate his own father and thwarts a threat from an accomplice.,2024,,3257,India,"Action, Drama",Telugu,119.0
tt13510660,Dhamaka,https://m.media-amazon.com/images/M/MV5BNzc3OWNkNTktNGVkZi00ZWIyLWIxNDMtMDVlM2E4MDJlYjYzXkEyXkFqcGc@._V1_SX300.jpg,"Reassigned from TV to radio, a frustrated anchor sees both danger and opportunity when he receives threatening calls on the air.",2021,6.7,43888,"India, South Korea, United States","Action, Crime, Drama",Hindi,103.0
tt15073166,IB 71,https://m.media-amazon.com/images/M/MV5BOWMwNzlmZjQtMzFhZi00ZjUzLThmMmQtYzNkZGMxYTc4YWRhXkEyXkFqcGc@._V1_SX300.jpg,A spy action thriller about the two-front war between Indian intelligence agencies and the Pakistani establishment in 1971.,2023,7.1,11208,India,"Action, Thriller",Hindi,117.0
tt14418234,State of Siege: Temple Attack,https://m.media-amazon.com/images/M/MV5BODVkMGNmYmYtODA1MS00MWJkLWFlYjctN2ZmYWFkN2Q3MDY0XkEyXkFqcGc@._V1_SX300.jpg,"Inspired by true events, the film narrates the heroic tale of NSG commandos, who step in to save innocent people when terrorists attack a temple in Gujarat.",2021,7.6,9961,India,"Action, Thriller",Hindi,110.0
tt20724796,Kerosene,https://m.media-amazon.com/images/M/MV5BYjg5OTNkODYtY2IxNi00NTY1LWFjY2UtMTY1MDQxODI2MDAxXkEyXkFqcGc@._V1_SX300.jpg,"The story revolves around victims who have been brutally raped, murdered and then burnt using Kerosene. While investigating the case, Vaibhav comes across a few more cases with the same Modus Operandi committed.",2022,7.6,3451,India,"Action, Crime, Drama",Telugu,120.0
